lookback,exit_lookback,atr_stop_mult,Sharpe Ratio
30,3,1.5,3.2992537430443476
30,4,1.5,3.332087744881599
30,5,1.5,3.375697652635583
30,6,1.5,3.4164311197073807
30,7,1.5,2.9694579243658645
30,8,1.5,2.95208088185276
30,9,1.5,2.934683706334058
32,3,1.5,3.421738518197171
32,4,1.5,3.4529882941666674
32,5,1.5,3.5004091505168122
32,6,1.5,3.541763447497875
32,7,1.5,3.0545440531687365
32,8,1.5,3.0439660777207944
32,9,1.5,3.02665195702634
34,3,1.5,3.442503739569253
34,4,1.5,3.47298730536111
34,5,1.5,3.5210054121326553
34,6,1.5,3.5618442470211793
34,7,1.5,3.1269104513716135
34,8,1.5,3.105932400200503
34,9,1.5,3.0897163829509617
36,3,1.5,3.634709087619931
36,4,1.5,3.6611337307171925
36,5,1.5,3.700093555168377
36,6,1.5,3.742258614184183
36,7,1.5,3.2163713286803617
36,8,1.5,3.1944204210880436
36,9,1.5,3.180006664011552
38,3,1.5,3.679508180089844
38,4,1.5,3.6210505314475854
38,5,1.5,3.750425989026885
38,6,1.5,3.7968479320682884
38,7,1.5,3.2041051463961687
38,8,1.5,3.180837585651701
38,9,1.5,3.1703949989240163
40,3,1.5,3.5796539394161653
40,4,1.5,3.6129439136759176
40,5,1.5,3.6295614183303075
40,6,1.5,3.660461341664274
40,7,1.5,3.0575317646064346
40,8,1.5,3.0429367555528697
40,9,1.5,3.001253095070644
42,3,1.5,3.502106271859744
42,4,1.5,3.537060818046504
42,5,1.5,3.5475437294010073
42,6,1.5,3.577805388181302
42,7,1.5,3.0278967693000043
42,8,1.5,3.013639437426139
42,9,1.5,2.971373051476483
44,3,1.5,3.14470481864848
44,4,1.5,3.2075360052635093
44,5,1.5,3.2143103373365376
44,6,1.5,3.2429142521184295
44,7,1.5,2.6512106392256896
44,8,1.5,2.6295767902007814
44,9,1.5,2.594364542505903
46,3,1.5,3.037303511677616
46,4,1.5,3.0939950450267606
46,5,1.5,3.100694047104074
46,6,1.5,3.142034348795562
46,7,1.5,2.5195200066294277
46,8,1.5,2.496997391865314
46,9,1.5,2.4584019949911164
48,3,1.5,3.155105829645583
48,4,1.5,3.2058710474269727
48,5,1.5,3.2193255276783166
48,6,1.5,3.2476116616676824
48,7,1.5,2.4644487793864958
48,8,1.5,2.4419640812449264
48,9,1.5,2.388977123079152
