Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ(H),Exit_λ(H),Entry_λ(L),Exit_λ(L),"Entry_calculate…(H,L,C)","Exit_calculate…(H,L,C)"
-19,15,29,512.9286378841051,476.9908983924578,524.696070888103,,664.0085791520447,18.808471189254696,0.06813388330106683,2025-02-26,2025-03-18,20 days,,535.6832555528226,483.3884086426206,506.86934067706676,464.07637985083835,7.118178826484573,13.699086789399527
21,34,37,489.63957585890734,478.10080496658304,465.36118384938806,,-262.63673673614545,20.3225479973353,-0.02554228026035549,2025-03-25,2025-03-28,3 days,,489.7591180442307,491.86161264912084,470.52368803573967,478.53924301933046,11.124121398314385,9.624276130655119
-22,38,46,460.2745390190723,451.9442914367033,486.51808351131024,,163.19663254209087,20.06881427002706,0.016116530729078322,2025-03-31,2025-04-10,10 days,,491.40320144364296,466.16346405948764,466.3826870366339,400.95658358107875,9.677484568465568,20.956224810630477
22,57,75,471.34492884890216,511.83019075096956,429.60416988332827,,869.0459092142858,21.629852631197178,0.0838071746712918,2025-04-28,2025-05-22,24 days,,471.4047282191122,521.1368820270468,451.26669636006665,509.41876573284907,18.360787010765684,7.950161049667595
21,83,91,526.1290501987006,528.6102414640853,510.6984711181643,,29.95549144816068,22.149525124918505,0.0027112207037098433,2025-06-04,2025-06-16,12 days,,526.8564424978958,534.8678553808483,510.10632704393424,523.8572258903529,7.377933900646103,6.701754532842123
21,97,123,540.7355939583459,557.4646514509443,524.9054735939523,,328.24800219097074,23.062205153595094,0.028906654974876995,2025-06-25,2025-08-01,37 days,,539.3789778904177,573.2260691874027,522.3706802794006,562.4923482714106,6.7824646104640305,5.856363671741259
-21,124,125,557.6841517796104,564.23946074192,564.23946074192,,-161.22188407145364,23.560395862952138,-0.013766273526569643,2025-08-04,2025-08-05,1 days,,573.2260691874027,573.2260691874027,550.3320963877643,550.3320963877643,6.2732055030828064,6.143522559758992
19,131,136,581.336189461128,566.9415119380282,564.9691143783978,,-295.3161492654813,21.81727632658397,-0.026736603545887368,2025-08-13,2025-08-20,7 days,,578.9320673642603,578.4233352453067,568.7570268998204,566.8616474345037,6.933741829213099,7.084099687182012
19,152,173,583.6105864506874,598.9083327066105,570.0737630074037,,268.1893193985508,22.46785946398866,0.024186037170109625,2025-09-12,2025-10-13,31 days,,583.4509873113628,612.3909772904724,575.6301819149563,588.2920219287263,5.79509335845607,7.811363083241474
18,183,190,623.7164465731967,617.6941518361581,596.3972958156232,,-130.7466960380628,22.345390771368386,-0.011645845440433643,2025-10-27,2025-11-05,9 days,,617.6242169779957,635.001840248536,598.9682752728291,617.6642245044198,10.294586466766532,8.582495815804773
-18,193,206,618.1235878797521,615.3172117702823,627.2574946448491,,28.31283557675672,22.20193439370062,0.0025446938778298724,2025-11-10,2025-11-28,18 days,,625.7937017112316,615.3971266508202,597.899620744235,594.3941540703303,9.947891035647372,13.01393442317926
18,207,217,612.8404314452031,617.5743367162205,592.4253171887977,,63.06282905140794,22.147465826905623,0.005716807056274154,2025-12-01,2025-12-15,14 days,,618.5231032781257,628.4004070267185,596.5513870928105,610.5733425467316,12.468205506227507,7.833481798866411
-19,218,222,607.4773301066649,621.3499755859375,625.4213581289828,,-286.9279829143387,23.347718808159446,-0.024859319083254616,2025-12-16,2025-12-22,6 days,,624.9748403012362,616.825255296648,608.5359935678383,599.5076134954934,7.381209836311427,8.376428659053895
-18,241,243,609.469970703125,624.0057198660714,624.0057198660714,,-283.8460473632815,22.202562430245536,-0.02587366992884522,2026-01-21,2026-01-23,2 days,,630.0,622.4600219726562,607.0499877929688,607.0499877929688,8.658573695591517,8.252859933035714
17,246,250,635.4600219726562,614.8600115094866,614.8600115094866,,-371.4556184430798,21.25544056919643,-0.034385059234445424,2026-01-28,2026-02-03,6 days,,632.0399780273438,633.6699829101562,618.6500244140625,618.27001953125,8.141422816685267,10.067849295479911
